project,snapshot,date,cyclic_module
MenuCal,MenuCal_backup_20251231,2025-12-31,MenuCal/MenuCal_backup_20251231/Features/Recipes/RecipeEditor
MenuCal,MenuCal_backup_20251231,2025-12-31,MenuCal/MenuCal_backup_20251231/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20251231,2025-12-31,MenuCal/MenuCal_backup_20251231/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20251231,2025-12-31,MenuCal/MenuCal_backup_20251231/Features/Recipes/Search
MenuCal,MenuCal_backup_20251231,2025-12-31,MenuCal/MenuCal_backup_20251231/Features/Setting
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/App
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/DevTools
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/AutoDetection
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Barcode
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Favorite
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/FindRetaurants
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/FoodNews
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/FoodPhoto
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Games
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/History
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/MenuScan
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/MyMenuCal
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/MyMenuCal/Analytics
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/ReceiptScan
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/ReceiptScan/DishCalorie
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Recipes
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Recipes/RecipeEditor
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Recipes/Search
MenuCal,MenuCal_backup_20260101,2026-01-01,MenuCal/MenuCal_backup_20260101/Features/Setting
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/App
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/DevTools
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/AutoDetection
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Barcode
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Favorite
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/FindRetaurants
