project,snapshot,date,cyclic_module
DocuSense,DocuSense_backup_20260408,2026-04-08,DocuSense/DocuSense_backup_20260408/AIProcessing
DocuSense,DocuSense_backup_20260408,2026-04-08,DocuSense/DocuSense_backup_20260408/Infrastructure
